,Metric,Coeffs
0,GDP,0.8476514361634642
1,Mortgage,9328.580763319655
2,CPI,-9056.249976007866
3,FEDFUNDS,-552.2614049190634
4,Pop_growth,22011.349791682183
5,is_election,-271775.5745836121
